,text,id
0,Will create LLM for my tweets,1633794532637818882
1,Salamat sa disappointment @greyunitato,1631715791140966400
2,Salamat sa laging pag disappoint,1631715700271386624
3,2 am still no sign,1631715655711096833
4,The usual. Nakalimutan na may jowa. Thank you. Will do the same to you.,1631715318820384768
5,Have a social life just to spite,1631711058061844480
6,"We angry, not sad",1631703492594380801
7,Pretend that errthings okay,1631703422306242561
8,Pretend like we okay,1631701639697661953
9,Damn. I’m getting tired of solitude but whatever,1631681757853659136
10,Let’s bottle shit up and see how long we can stay sane! :),1630497946436538373
11,"Goddamnit, i need a safe space",1630121996288937984
12,Note to self: Inarte = saloobin.,1630116595975733248
13,"Let me just mark this day as the day I finally accept na kahit anong gawin ko, di na talaga ako magiging masaya.",1630113227932831745
14,"“How do you plan on living your life?” 
With sheer will and intense focused hatred.",1630101900069851136
15,I’m fucking old,1630101377941929984
16,Umay talaga sa mukha nun,1630101179211599872
17,It's not space that I want.,1617142285006934017
18,BWAHAHAHAHAHAHAHHAHAH,1614644848027643906
19,"Ayun naman pala. 
Ako pala talaga yung kontabida.",1614644757829124103
20,"But of course. 
Everyone but me gets screen time.",1614572579150499840
21,"New Years Reso? 
Fuxk this personality, time to start a new one. 
Or be a sociopath. Whichever.",1609178838327791616
22,You don't fucking see me talking to my exes.,1603024463993667584
23,Lol di nga kaya kagit blind item lang,1601547261397569536
24,"Medyo tanga po yung kumukuha ng di nya order. 
Medyo bobo ka po di ka nagtatanong.",1601200831868862465
25,"Right then and there, nung sinabi pa lang sa'kin na 
""picturan mo kami"" 
I knew HAHAHHA
Saet pa din tho",1599794309028794369
26,"Edi don't i-post.
Di ko naman hangad e.",1599779372525031424
27,"Thanks @taylorswift13 for spending 3,440 minutes with me in 2022. I couldn’t stop listening to champagne problems. #SpotifyWrapped https://t.co/SdSMJKyyN8",1597962770401886209
28,Am I really borderline suicidal? And in need of help?,1594692490141265921
29,I let you know how I feel and that's how you see it. Okay. Sige.,1594691207615369217
30,No one needs to hear my thoughts.,1594688220885053441
31,"You're doing good david
Please be good.",1592163443171528705
32,Gago edi wow.,1590251002007257089
33,It's sad how you're a recurring theme.,1586077058874363904
34,Someone congratulated me... Felt nice.,1583020195807133697
35,Nagyaya ang putangina. Gago.,1582350938849038336
36,Sana lahat may pa special mention.,1580084391677943808
37,I'll fucking ride again.,1576246139200110592
38,Need to hvae my own thing. Buti na lang uuwi ko yung motor.,1576246092764631040
39,"I'm tired, man.",1575691394051903488
40,Kill me now.,1570698460374110209
41,"Everyone seems to empathize with depression. 
But will that notion change once the depressed person is your significant other?",1570593704917991432
42,I'm really fucking scared. I want her but I'm so fucking scared.,1568950464397611008
43,I'm fucken weirded out. I love her yet everything about her scares me.,1568948443128934401
44,Killl me now,1567899558503677953
45,MY FUCKING GOD. 3 FUCKING YEARS IN WORK AND ALREADY PLAYING WITH THE BEEG BOYZ,1567427457145532419
46,"Sabi sa resume ""Flexible and can work in pressure"" pero puta may anxiety. Gago ano yun? HAHAHAHAHAH",1565539126237343744
47,"Might be because deep down, I want it to end.",1564159323835895808
48,Not my environment. Should create one.,1564158147945971713
49,Fuck you and all that is you believe in.,1564156508841324544
50,Should've just worked. Fucking. Annoying.,1564156240275849217
51,Maxime is just a dumbass name. As well as Cahu. Disgusting name.,1564087403228594182
52,"Tungunu, weekend work nanaman :c",1563170941131436032
53,Oumay sa trabaho. Gago. Alis na ako maaga.,1562425912590708737
54,"Blasted my fouqing ears, now I only hear is
EEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP",1562088926911025153
55,Shiny pokemon.,1562087033153417217
56,WALA AKONG PUQINANG-QINANG SHINY MAKAUSAP.,1562082949184786432
57,"At this time and age, may nasasabihan sana ako ng init ng ulo ko. Pero wala e. Source din e.",1562082846919241730
58,UMAY MALALA.,1562082624562409472
59,OUMAY AMPOTA. GAGO. YAWA. YOKO NA. BACK TO SHELL.,1562082055609282561
60,FUCKING SIGE. AT LEAST MAGISA NA AKO BUKAS.,1562081871038922754
61,TANGINA TAPOS MAINIT PA ULO KO. GAGO. EDI LET IT BURN,1562081734895992834
62,"GAGO, DI KO WORK TO PERO SIGE",1562081662758191104
63,FUGGING BEING THROWN UNDER THE BUS HAHAHA,1562081579069247490
64,HAHAHAHATDOG.,1562081491634749440
65,I'm so fucking... I don't fucking know... What am I even supposed to do?,1556674824680148993
66,"Ito pala sense ng twitter. 
Labasan ng sama ng loob. 
Wala naman nakakabasa e. 
Wala naman may pake. 

Kewl kewl kewl kewl kewl",1556674400396918789
67,Tangina. Next time. Will live like I don't give any fucks.,1556672679675318273
68,Wag ka na umulit sa ganito.,1556672552214614018
69,Nakakaumay yung ganito.,1556672514507833344
70,Why do you always disappoint?,1556667593599373313
71,Barely doing anything. As usual.,1556667336496939008
72,I barely fucking interact with fucking anyone and yet you're still blinded by the thought that someone else is going to steal me from you when clearly it's the other way around.,1556161360278749184
73,Ang hirap ng gusto mo maging mayaman tapos walang backer.,1556118463680479232
74,"An homage to you, and everything we could have been.
@greyunitato https://t.co/iikl6YLQhi",1555845342733955074
75,Now what?  I just feel more useless than ever.,1554161193056894976
76,August or Aughosting kasi napaka sakit,1554063458492383232
77,Fucking August,1554063056074047494
78,"Don't be like me. Be like someone else. Apparently, that's what works. So be someone else.",1551981613718056960
79,"The urge to say ""Think for yourself"" is so high rn",1551567480472014853
80,"Saya ko dito oh. 
David maging masaya ka naman please. https://t.co/BDx6B0DvzY",1551549222402822146
81,I feel so pointless,1551546797998604288
82,TL na tapos gago biglang nawalan ng goal.,1551544145063612416
83,"I guess era ko na ulit ng pagiging sad boi HAHAHAHA. 
Or... Workaholic?",1550427908572729344
84,I'm a 10 but legit a red flag. HAHAHHAHA. https://t.co/ieHj2N3UUL,1550427407135358977
85,Yep. Sorry kasi di ako si Steve Harrington. https://t.co/XUq53fxZFr,1550426912907935745
86,"Gago. Tama na. Nakakahiya ka na. 
Well. Ako lang naman nakakaintindi sa sarili ko edi... Bye?",1550426714437603329
87,Hihi. Mas masaya pag mag-isa. Sarili mo lang problema mo. Papakitang tao ka sa iba paminsan lang. Pero deep inside wala ka naman talaga pake ih. Hahahah.,1550426478495481856
88,No need for the note to self.,1550422964306227200
89,Lol di na pala kayo.,1550422901278461955
90,Puta umay talaga.,1550400522389139456
91,Note to self: Di kayo pag nasa labas,1550400260463218690
92,Tanginang mapapa-install ng twitter para magrant kasi alam ko na pag sinabi ko sa'yo e magaaway tayo.,1550399286499688448
93,Disappointing.,1547285823980453889
94,"Tangina? Lakas maka-throwback sa time na lugmok na lugmok ako sa buhay
https://t.co/rSCvWoY7Vb",1546900582073794560
95,Bye for now or for longer? Idk.,1545805287583465472
96,"I miss you bebu. The person that I met in bumble that despite having a shit day, would always greet me with a smile and tell me that what I'm feeling is valid.",1545329907210731521
97,Tangina. It's always the bad thing about me that spreads and never the good thing. Well. Ano pa nga ba?,1545103171772489728
98,"I have issues. Fuck.
Time to not duck down and see nothing as I continue to soldier on. 
Wala nga pala dapat ako nararamdaman.",1545102378893856770
99,Gusto lang naman makausap pero why the fuck does it feel like you can't give me the time of day.,1545102022432604160
100,Puta shut up ulit tayo malala.,1545101878848942080
101,Naol good person. I guess I'm the bad guy.,1545101774918279168
102,I feel invalidated. Maybe it's me that invalidates my feelings. Idk.,1545101628692254726
103,Di daw pinagtarayan pero halata sa kilos.,1543610153106153472
104,That one fucking time I acted up because sumosobra na. Still viewed as something bad. Damn.,1543608368828272640
105,"Tangina mo naman David, milestone pero puta pagod ka. Anyare?",1543157415696162821
106,Siguro nga umay ka na sa'kin.,1543156913625374720
107,Never did you fucking tweet about how happy you are with me. It's always the sad part. Huh? Why namarn ganun?,1543156772982075392
108,Gago. Hirap lumugar.,1543156339706187781
